pickup,delivery,distance,equipment,weight,date,predicted_rate
<<<<<<< HEAD
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,831.8572999999997
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,830.9635999999997
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,830.0749999999997
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,829.7539999999997
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,829.7321999999996
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,829.6575999999997
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,829.4582999999996
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,831.8572999999997
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,830.9635999999997
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,830.0749999999997
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,829.7539999999997
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,829.7321999999996
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,829.6575999999997
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,829.4582999999996
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,831.8572999999997
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,830.9635999999997
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,830.0749999999997
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,829.7539999999997
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,829.7321999999996
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,829.6575999999997
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,829.4582999999996
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,831.8572999999997
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,830.9635999999997
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,830.0749999999997
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,829.7539999999997
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,829.7321999999996
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,829.6575999999997
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,829.4582999999996
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,831.8572999999997
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,830.9635999999997
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,830.0749999999997
=======
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,1047.2708
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,1047.2708
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,1047.2708
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,1047.2708
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,1047.2708
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,1047.2708
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,1047.2708
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,1047.2708
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,1047.2708
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,1047.2708
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,1047.2708
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,1047.2708
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,1047.2708
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,1047.2708
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,1047.2708
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,1047.2708
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,1047.2708
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,1047.2708
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,1047.2708
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,1047.2708
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,1047.2708
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,1047.2708
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,1047.2708
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,1047.2708
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,1047.2708
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,1047.2708
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,1047.2708
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,1047.2708
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,1047.2708
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,1047.2708
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,1047.2708
>>>>>>> 48430cb725b894bc90922a777eedb4fda5ea8858
