load_id,pickup,delivery,pickup_lat,pickup_lon,delivery_lat,delivery_lon,distance,weight,date,market_index,quote_signal,posted_rate,month,day_of_week,is_weekend,quarter,weight_per_mile,market_distance_interaction,equipment_Dry Van,equipment_Flatbed,equipment_Reefer,lane_target_encoded
TR-003669,Syracuse,Mobile,42.80915,-76.89973,31.80442,-88.25195,1148.9,14815.0,2025-01-24,0.96588,2.00974,2350.71,1,4,0,1,12.894942988945948,1109.699532,0,0,1,2399.4559999999997
TR-021552,Dayton,Albany,39.87206,-85.62931,43.96975,-71.05842,926.4,23921.0,2025-05-16,1.335,1.88034,2115.53,5,4,0,2,25.82145941278066,1236.744,0,0,1,1902.4422222222222
TR-011889,Austin,New York,29.39553,-99.6978,40.00674,-73.7984,1931.6,26430.0,2025-03-17,0.99645,1.99916,3912.58,3,0,0,1,13.68295713398219,1924.7428199999997,0,1,0,3809.4339999999997
TR-036700,New Orleans,St. Louis,32.53273,-92.19519,38.38204,-89.88819,496.2,37238.0,2025-08-20,1.05253,2.1206,1209.64,8,2,0,3,75.04635227730753,522.2653859999999,1,0,0,1231.68
TR-015848,Amarillo,New York,33.17137,-104.36789,40.00674,-73.7984,2017.5,36924.0,2025-04-10,1.21385,2.24595,3959.88,4,3,0,2,18.30185873605948,2448.942375,1,0,0,4119.14625
TR-037167,Memphis,Baton Rouge,35.56802,-89.52871,30.50134,-92.65374,480.1,26800.0,2025-08-23,0.9878,2.25473,1215.08,8,5,1,3,55.821703811705895,474.24278000000004,0,0,1,1164.1155555555556
TR-033135,Indianapolis,Fort Wayne,38.52567,-88.85948,41.31561,-85.36206,335.8,27816.0,2025-07-28,0.91889,1.94281,749.0,7,0,0,3,82.83502084574151,308.563262,1,0,0,841.17
TR-009172,Kansas City,San Francisco,39.41104,-91.1245,35.1967,-121.69849,1985.1,26915.0,2025-02-28,1.09048,1.81407,3559.8,2,4,0,1,13.558510906251575,2164.7118479999995,1,0,0,3743.675
TR-040187,San Antonio,San Francisco,29.50969,-98.40059,35.1967,-121.69849,1658.8,35342.0,2025-09-11,1.03501,2.27994,3688.72,9,3,0,3,21.305763202314928,1716.874588,0,1,0,3435.32
TR-005571,Houston,Fort Wayne,30.71157,-94.7655,41.31561,-85.36206,1060.7,31852.0,2025-02-04,0.98327,2.22009,2351.83,2,1,0,1,30.029225982841517,1042.954489,0,0,1,2139.860588235294
TR-014996,Cincinnati,Washington,37.15706,-86.77499,38.87577,-77.05086,662.5,37461.0,2025-04-05,1.10493,2.08524,1389.69,4,5,1,2,56.54490566037736,732.016125,1,0,0,1433.708
TR-008245,Syracuse,Lubbock,42.80915,-76.89973,29.87534,-99.85456,1792.0,32273.0,2025-02-22,0.96523,2.06482,3629.15,2,5,1,1,18.009486607142858,1729.69216,0,1,0,3693.245294117647
TR-039858,Shreveport,Phoenix,32.54628,-92.31888,28.75668,-115.87725,1611.0,22562.0,2025-09-09,0.85311,1.90818,3082.78,9,1,0,3,14.004965859714464,1374.36021,1,0,0,3423.1910526315787
TR-020964,Boston,Columbia,39.27463,-69.5,34.6357,-83.28506,982.6,25972.0,2025-05-12,1.2149,2.15344,1971.2,5,0,0,2,26.431915326684308,1193.7607400000002,1,0,0,2122.438333333333
TR-044002,Mobile,San Francisco,31.80442,-88.25195,35.1967,-121.69849,2234.6,35941.0,2025-10-06,0.92042,2.17063,4373.47,10,0,0,4,16.08386288373758,2056.770532,1,0,0,4371.166666666667
TR-010606,Montgomery,Lexington,31.37602,-86.10743,36.99152,-84.99876,478.6,35521.0,2025-03-09,0.97835,2.55382,1223.58,3,6,1,1,74.21855411617217,468.23831000000007,0,0,1,1120.0445454545454
TR-037643,Oklahoma City,Montgomery,31.88294,-98.58097,31.37602,-86.10743,855.3,36440.0,2025-08-26,0.94102,2.08939,1909.79,8,1,0,3,42.604933941307145,804.8544059999999,1,0,0,1896.6275
TR-047261,Tucson,Baltimore,30.92733,-113.23037,38.16908,-72.74564,2616.0,31204.0,2025-10-27,0.87697,2.06177,5450.63,10,0,0,4,11.928134556574923,2294.15352,0,0,1,5271.573333333334
TR-037718,Harrisburg,Montgomery,39.71695,-78.12481,31.37602,-86.10743,833.4,45988.0,2025-08-27,0.9932,1.88359,1944.16,8,2,0,3,55.18118550515959,827.7328799999999,0,1,0,1852.2528571428572
TR-014879,Reno,Fort Wayne,39.54838,-118.64843,41.31561,-85.36206,2024.5,24192.0,2025-04-04,1.15892,2.42675,3421.22,4,4,0,2,11.949617189429489,2346.2335399999997,1,0,0,3747.69875
TR-035979,Baton Rouge,Cincinnati,30.50134,-92.65374,37.15706,-86.77499,677.5,36052.0,2025-08-15,1.00684,1.98455,1638.07,8,4,0,3,53.21328413284133,682.1341,0,1,0,1571.6156
TR-039838,Chattanooga,Cincinnati,35.29792,-87.18651,37.15706,-86.77499,184.1,42553.0,2025-09-09,0.86693,2.71338,501.55,9,1,0,3,231.1406844106464,159.601813,1,0,0,478.3778571428571
TR-016332,Reno,Memphis,39.54838,-118.64843,35.56802,-89.52871,1841.9,41526.0,2025-04-13,1.03932,2.32487,3369.24,4,6,1,2,22.545197893479557,1914.3235080000002,1,0,0,3705.549090909091
TR-029242,New York,Savannah,40.00674,-73.7984,33.60973,-82.29994,779.4,31130.0,2025-07-03,1.34541,1.89778,1764.63,7,3,0,3,39.940980241211186,1048.612554,0,1,0,1695.6275
TR-017120,Tulsa,Hartford,33.45894,-94.78556,39.55328,-72.18051,1567.0,28726.0,2025-04-18,1.35059,2.12899,3189.92,4,4,0,2,18.331844288449265,2116.37453,1,0,0,3126.612727272727
TR-040903,Lubbock,New York,29.87534,-99.85456,40.00674,-73.7984,1876.8,39788.0,2025-09-16,0.84794,1.94245,3668.0,9,1,0,3,21.1999147485081,1591.413792,1,0,0,3756.550666666667
TR-039284,Fort Wayne,St. Louis,41.31561,-85.36206,38.38204,-89.88819,375.8,35657.0,2025-09-06,0.88008,2.26136,851.04,9,5,1,3,94.88291644491751,330.734064,1,0,0,856.4033333333333
